model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
Qwen/Qwen2.5-14B,top_k,1.0,0.65,0.0,65,0,100,137,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,2.0,0.75,0.0,75,0,100,201,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,3.0,0.8,0.0,80,0,100,249,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,4.0,0.81,0.0,81,0,100,277,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,5.0,0.85,0.0,85,0,100,308,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,6.0,0.89,0.0,89,0,100,326,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,7.0,0.93,0.0,93,0,100,344,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,8.0,0.94,0.0,94,0,100,361,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,9.0,0.96,0.0,96,0,100,378,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,10.0,0.97,0.0,97,0,100,394,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,11.0,0.97,0.0,97,0,100,405,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,12.0,0.97,0.0,97,0,100,423,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,13.0,0.97,0.0,97,0,100,434,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,14.0,0.97,0.0,97,0,100,442,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,15.0,0.97,0.0,97,0,100,453,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,16.0,0.97,0.0,97,0,100,460,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,17.0,0.97,0.0,97,0,100,469,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,18.0,0.97,0.0,97,0,100,474,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,19.0,0.97,0.0,97,0,100,480,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,20.0,0.97,0.0,97,0,100,490,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.5,0.57,0.0,57,0,100,143,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.55,0.63,0.0,63,0,100,189,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.6,0.71,0.0,71,0,100,221,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.65,0.76,0.0,76,0,100,257,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.7,0.78,0.0,78,0,100,295,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.75,0.79,0.0,79,0,100,331,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.8,0.81,0.0,81,0,100,390,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.85,0.87,0.03,87,3,100,451,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.9,0.89,0.07,89,7,100,539,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.95,0.92,0.16,92,16,100,643,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_p,0.99,0.99,0.45,99,45,100,803,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.01,1.0,0.02,100,2,100,604,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.02,0.98,0.0,98,0,100,533,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.03,0.98,0.0,98,0,100,486,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.04,0.98,0.0,98,0,100,456,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.05,0.98,0.0,98,0,100,423,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.06,0.97,0.0,97,0,100,407,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.07,0.96,0.0,96,0,100,387,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.08,0.95,0.0,95,0,100,378,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.09,0.93,0.0,93,0,100,364,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,min_p,0.1,0.92,0.0,92,0,100,352,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,1.0,0.64,0.0,64,0,100,127,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,2.0,0.75,0.0,75,0,100,192,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,3.0,0.8,0.0,80,0,100,247,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,4.0,0.82,0.0,82,0,100,279,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,5.0,0.87,0.0,87,0,100,306,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,6.0,0.89,0.0,89,0,100,324,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,7.0,0.9,0.0,90,0,100,345,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,8.0,0.94,0.0,94,0,100,365,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,9.0,0.95,0.0,95,0,100,375,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,10.0,0.97,0.0,97,0,100,394,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,11.0,0.97,0.0,97,0,100,407,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,12.0,0.97,0.0,97,0,100,422,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,13.0,0.97,0.0,97,0,100,435,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,14.0,0.98,0.0,98,0,100,442,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,15.0,0.98,0.0,98,0,100,451,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,16.0,0.98,0.0,98,0,100,458,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,17.0,0.98,0.0,98,0,100,466,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,18.0,0.98,0.0,98,0,100,471,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,19.0,0.98,0.0,98,0,100,478,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_k,20.0,0.98,0.0,98,0,100,493,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.5,0.52,0.0,52,0,100,113,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.55,0.58,0.0,58,0,100,143,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.6,0.61,0.0,61,0,100,171,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.65,0.67,0.0,67,0,100,211,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.7,0.71,0.0,71,0,100,254,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.75,0.74,0.0,74,0,100,298,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.8,0.79,0.0,79,0,100,353,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.85,0.8,0.0,80,0,100,402,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.9,0.85,0.06,85,6,100,492,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.95,0.89,0.13,89,13,100,592,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,top_p,0.99,0.96,0.4,96,40,100,766,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.01,1.0,0.01,100,1,100,581,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.02,1.0,0.0,100,0,100,515,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.03,0.99,0.0,99,0,100,469,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.04,0.98,0.0,98,0,100,429,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.05,0.97,0.0,97,0,100,402,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.06,0.97,0.0,97,0,100,387,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.07,0.95,0.0,95,0,100,364,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.08,0.93,0.0,93,0,100,349,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.09,0.92,0.0,92,0,100,340,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen2.5-14B-Instruct,min_p,0.1,0.9,0.0,90,0,100,326,1000,results/audit.qwen25-14b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,1.0,0.56,0.0,56,0,100,102,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,2.0,0.69,0.0,69,0,100,160,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,3.0,0.74,0.0,74,0,100,199,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,4.0,0.78,0.0,78,0,100,223,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,5.0,0.82,0.0,82,0,100,250,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,6.0,0.82,0.0,82,0,100,272,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,7.0,0.85,0.0,85,0,100,289,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,8.0,0.87,0.0,87,0,100,302,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,9.0,0.88,0.0,88,0,100,315,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,10.0,0.89,0.0,89,0,100,332,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,11.0,0.91,0.0,91,0,100,351,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,12.0,0.91,0.0,91,0,100,362,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,13.0,0.92,0.0,92,0,100,374,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,14.0,0.94,0.0,94,0,100,386,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,15.0,0.94,0.0,94,0,100,394,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,16.0,0.94,0.0,94,0,100,399,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,17.0,0.96,0.0,96,0,100,409,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,18.0,0.96,0.0,96,0,100,424,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,19.0,0.96,0.0,96,0,100,428,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_k,20.0,0.96,0.0,96,0,100,432,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.5,0.54,0.0,54,0,100,143,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.55,0.6,0.0,60,0,100,170,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.6,0.64,0.0,64,0,100,194,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.65,0.72,0.0,72,0,100,235,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.7,0.74,0.0,74,0,100,281,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.75,0.77,0.0,77,0,100,327,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.8,0.83,0.0,83,0,100,375,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.85,0.89,0.02,89,2,100,441,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.9,0.9,0.04,90,4,100,529,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.95,0.94,0.1,94,10,100,634,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,top_p,0.99,0.98,0.49,98,49,100,837,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.01,0.99,0.01,99,1,100,547,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.02,0.97,0.0,97,0,100,464,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.03,0.97,0.0,97,0,100,433,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.04,0.96,0.0,96,0,100,392,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.05,0.93,0.0,93,0,100,361,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.06,0.93,0.0,93,0,100,348,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.07,0.91,0.0,91,0,100,333,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.08,0.91,0.0,91,0,100,323,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.09,0.91,0.0,91,0,100,310,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B,min_p,0.1,0.89,0.0,89,0,100,293,1000,results/audit.qwen35-9b-instruct.jsonl
Qwen/Qwen3.5-9B-Base,top_k,1.0,0.63,0.0,63,0,100,114,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,2.0,0.74,0.0,74,0,100,175,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,3.0,0.76,0.0,76,0,100,213,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,4.0,0.79,0.0,79,0,100,238,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,5.0,0.83,0.0,83,0,100,271,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,6.0,0.89,0.0,89,0,100,291,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,7.0,0.89,0.0,89,0,100,312,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,8.0,0.89,0.0,89,0,100,325,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,9.0,0.9,0.0,90,0,100,340,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,10.0,0.91,0.0,91,0,100,359,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,11.0,0.92,0.0,92,0,100,369,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,12.0,0.93,0.0,93,0,100,382,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,13.0,0.93,0.0,93,0,100,387,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,14.0,0.93,0.0,93,0,100,399,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,15.0,0.93,0.0,93,0,100,410,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,16.0,0.93,0.0,93,0,100,418,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,17.0,0.93,0.0,93,0,100,428,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,18.0,0.93,0.0,93,0,100,433,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,19.0,0.93,0.0,93,0,100,434,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_k,20.0,0.93,0.01,93,1,100,441,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.5,0.61,0.0,61,0,100,157,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.55,0.66,0.0,66,0,100,193,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.6,0.69,0.0,69,0,100,225,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.65,0.71,0.0,71,0,100,264,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.7,0.76,0.0,76,0,100,311,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.75,0.79,0.0,79,0,100,351,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.8,0.84,0.0,84,0,100,397,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.85,0.88,0.03,88,3,100,465,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.9,0.9,0.06,90,6,100,553,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.95,0.95,0.15,95,15,100,663,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,top_p,0.99,0.99,0.56,99,56,100,835,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.01,0.99,0.0,99,0,100,563,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.02,0.97,0.0,97,0,100,494,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.03,0.97,0.0,97,0,100,457,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.04,0.96,0.0,96,0,100,424,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.05,0.95,0.0,95,0,100,394,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.06,0.92,0.0,92,0,100,377,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.07,0.9,0.0,90,0,100,357,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.08,0.9,0.0,90,0,100,339,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.09,0.9,0.0,90,0,100,323,1000,results/audit.qwen35-9b-base.jsonl
Qwen/Qwen3.5-9B-Base,min_p,0.1,0.89,0.0,89,0,100,306,1000,results/audit.qwen35-9b-base.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,1.0,0.5,0.0,50,0,100,88,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,2.0,0.6,0.0,60,0,100,140,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,3.0,0.63,0.0,63,0,100,167,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,4.0,0.67,0.0,67,0,100,190,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,5.0,0.75,0.0,75,0,100,217,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,6.0,0.78,0.0,78,0,100,238,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,7.0,0.8,0.0,80,0,100,258,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,8.0,0.8,0.0,80,0,100,266,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,9.0,0.81,0.0,81,0,100,275,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,10.0,0.82,0.0,82,0,100,286,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,11.0,0.83,0.0,83,0,100,291,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,12.0,0.84,0.0,84,0,100,299,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,13.0,0.86,0.01,86,1,100,310,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,14.0,0.88,0.01,88,1,100,317,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,15.0,0.91,0.01,91,1,100,328,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,16.0,0.91,0.01,91,1,100,333,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,17.0,0.91,0.01,91,1,100,343,1000,results/audit.deepseek-qwen14b-distill.jsonl
