model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,18.0,0.93,0.01,93,1,100,351,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,19.0,0.93,0.02,93,2,100,359,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_k,20.0,0.93,0.02,93,2,100,364,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.5,0.35,0.0,35,0,100,57,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.55,0.39,0.0,39,0,100,65,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.6,0.44,0.0,44,0,100,80,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.65,0.47,0.0,47,0,100,96,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.7,0.52,0.0,52,0,100,120,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.75,0.58,0.0,58,0,100,146,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.8,0.64,0.0,64,0,100,180,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.85,0.7,0.0,70,0,100,217,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.9,0.76,0.01,76,1,100,286,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.95,0.82,0.02,82,2,100,408,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,top_p,0.99,0.93,0.14,93,14,100,626,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.01,0.96,0.01,96,1,100,385,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.02,0.88,0.01,88,1,100,316,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.03,0.86,0.01,86,1,100,285,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.04,0.83,0.01,83,1,100,261,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.05,0.79,0.0,79,0,100,246,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.06,0.78,0.0,78,0,100,237,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.07,0.76,0.0,76,0,100,223,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.08,0.75,0.0,75,0,100,211,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.09,0.75,0.0,75,0,100,206,1000,results/audit.deepseek-qwen14b-distill.jsonl
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,min_p,0.1,0.74,0.0,74,0,100,201,1000,results/audit.deepseek-qwen14b-distill.jsonl
google/gemma-3-12b-it,top_k,1.0,0.16,0.0,16,0,100,19,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,2.0,0.21,0.0,21,0,100,26,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,3.0,0.32,0.0,32,0,100,42,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,4.0,0.37,0.0,37,0,100,52,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,5.0,0.4,0.0,40,0,100,59,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,6.0,0.45,0.0,45,0,100,67,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,7.0,0.47,0.0,47,0,100,73,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,8.0,0.51,0.0,51,0,100,78,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,9.0,0.52,0.0,52,0,100,83,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,10.0,0.53,0.0,53,0,100,86,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,11.0,0.55,0.0,55,0,100,91,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,12.0,0.57,0.0,57,0,100,96,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,13.0,0.57,0.0,57,0,100,98,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,14.0,0.59,0.0,59,0,100,103,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,15.0,0.6,0.0,60,0,100,106,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,16.0,0.6,0.0,60,0,100,107,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,17.0,0.61,0.0,61,0,100,114,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,18.0,0.61,0.0,61,0,100,116,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,19.0,0.62,0.0,62,0,100,117,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_k,20.0,0.62,0.0,62,0,100,121,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.5,0.26,0.0,26,0,100,31,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.55,0.3,0.0,30,0,100,36,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.6,0.35,0.0,35,0,100,46,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.65,0.44,0.0,44,0,100,60,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.7,0.49,0.0,49,0,100,70,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.75,0.52,0.0,52,0,100,81,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.8,0.62,0.0,62,0,100,98,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.85,0.7,0.0,70,0,100,121,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.9,0.82,0.0,82,0,100,177,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.95,0.92,0.0,92,0,100,283,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,top_p,0.99,1.0,0.01,100,1,100,508,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.01,0.59,0.0,59,0,100,107,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.02,0.55,0.0,55,0,100,92,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.03,0.51,0.0,51,0,100,84,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.04,0.47,0.0,47,0,100,75,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.05,0.45,0.0,45,0,100,69,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.06,0.45,0.0,45,0,100,66,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.07,0.41,0.0,41,0,100,60,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.08,0.4,0.0,40,0,100,59,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.09,0.39,0.0,39,0,100,55,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-it,min_p,0.1,0.38,0.0,38,0,100,52,1000,results/audit.gemma3-12b-it.jsonl
google/gemma-3-12b-pt,top_k,1.0,0.14,0.0,14,0,100,15,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,2.0,0.21,0.0,21,0,100,25,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,3.0,0.23,0.0,23,0,100,29,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,4.0,0.27,0.0,27,0,100,33,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,5.0,0.28,0.0,28,0,100,34,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,6.0,0.29,0.0,29,0,100,36,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,7.0,0.32,0.0,32,0,100,41,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,8.0,0.35,0.0,35,0,100,45,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,9.0,0.37,0.0,37,0,100,53,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,10.0,0.37,0.0,37,0,100,53,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,11.0,0.38,0.0,38,0,100,56,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,12.0,0.4,0.0,40,0,100,59,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,13.0,0.42,0.0,42,0,100,62,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,14.0,0.44,0.0,44,0,100,66,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,15.0,0.45,0.0,45,0,100,67,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,16.0,0.46,0.0,46,0,100,69,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,17.0,0.5,0.0,50,0,100,76,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,18.0,0.52,0.0,52,0,100,80,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,19.0,0.52,0.0,52,0,100,83,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_k,20.0,0.52,0.0,52,0,100,84,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.5,0.13,0.0,13,0,100,13,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.55,0.18,0.0,18,0,100,18,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.6,0.23,0.0,23,0,100,24,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.65,0.27,0.0,27,0,100,29,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.7,0.32,0.0,32,0,100,37,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.75,0.42,0.0,42,0,100,55,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.8,0.48,0.0,48,0,100,76,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.85,0.61,0.0,61,0,100,111,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.9,0.71,0.0,71,0,100,167,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.95,0.89,0.0,89,0,100,284,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,top_p,0.99,1.0,0.04,100,4,100,629,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.01,0.55,0.0,55,0,100,87,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.02,0.45,0.0,45,0,100,63,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.03,0.41,0.0,41,0,100,53,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.04,0.37,0.0,37,0,100,45,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.05,0.36,0.0,36,0,100,43,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.06,0.36,0.0,36,0,100,42,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.07,0.33,0.0,33,0,100,39,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.08,0.29,0.0,29,0,100,35,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.09,0.28,0.0,28,0,100,34,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-3-12b-pt,min_p,0.1,0.28,0.0,28,0,100,33,1000,results/audit.gemma3-12b-base.jsonl
google/gemma-4-E4B,top_k,1.0,0.11,0.0,11,0,100,13,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,2.0,0.13,0.0,13,0,100,16,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,3.0,0.17,0.0,17,0,100,22,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,4.0,0.24,0.0,24,0,100,31,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,5.0,0.27,0.0,27,0,100,37,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,6.0,0.3,0.0,30,0,100,40,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,7.0,0.35,0.0,35,0,100,48,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,8.0,0.4,0.0,40,0,100,54,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,9.0,0.42,0.0,42,0,100,56,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,10.0,0.43,0.0,43,0,100,57,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,11.0,0.45,0.0,45,0,100,62,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,12.0,0.48,0.0,48,0,100,67,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,13.0,0.52,0.0,52,0,100,75,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,14.0,0.55,0.0,55,0,100,82,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,15.0,0.55,0.0,55,0,100,83,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,16.0,0.55,0.0,55,0,100,88,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,17.0,0.55,0.0,55,0,100,91,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,18.0,0.59,0.0,59,0,100,97,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,19.0,0.59,0.0,59,0,100,97,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_k,20.0,0.6,0.0,60,0,100,99,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.5,0.19,0.0,19,0,100,19,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.55,0.26,0.0,26,0,100,29,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.6,0.3,0.0,30,0,100,36,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.65,0.33,0.0,33,0,100,43,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.7,0.39,0.0,39,0,100,52,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.75,0.47,0.0,47,0,100,64,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.8,0.55,0.0,55,0,100,87,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.85,0.66,0.0,66,0,100,121,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.9,0.79,0.0,79,0,100,176,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.95,0.88,0.0,88,0,100,270,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,top_p,0.99,1.0,0.03,100,3,100,493,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.01,0.69,0.0,69,0,100,114,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.02,0.53,0.0,53,0,100,78,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.03,0.5,0.0,50,0,100,69,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.04,0.44,0.0,44,0,100,59,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.05,0.42,0.0,42,0,100,53,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.06,0.41,0.0,41,0,100,52,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.07,0.39,0.0,39,0,100,48,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.08,0.38,0.0,38,0,100,47,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.09,0.35,0.0,35,0,100,44,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B,min_p,0.1,0.34,0.0,34,0,100,43,1000,results/audit.gemma4-e4b-base.jsonl
google/gemma-4-E4B-it,top_k,1.0,0.08,0.0,8,0,100,9,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,2.0,0.1,0.0,10,0,100,11,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,3.0,0.13,0.0,13,0,100,14,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,4.0,0.14,0.0,14,0,100,15,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,5.0,0.16,0.0,16,0,100,17,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,6.0,0.19,0.0,19,0,100,21,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,7.0,0.21,0.0,21,0,100,23,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,8.0,0.25,0.0,25,0,100,27,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,9.0,0.27,0.0,27,0,100,29,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,10.0,0.27,0.0,27,0,100,29,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,11.0,0.28,0.0,28,0,100,30,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,12.0,0.28,0.0,28,0,100,30,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,13.0,0.28,0.0,28,0,100,30,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,14.0,0.29,0.0,29,0,100,31,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,15.0,0.3,0.0,30,0,100,33,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,16.0,0.3,0.0,30,0,100,33,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,17.0,0.3,0.0,30,0,100,34,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,18.0,0.3,0.0,30,0,100,35,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,19.0,0.3,0.0,30,0,100,35,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_k,20.0,0.3,0.0,30,0,100,35,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.5,0.03,0.0,3,0,100,3,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.55,0.04,0.0,4,0,100,4,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.6,0.06,0.0,6,0,100,6,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.65,0.1,0.0,10,0,100,10,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.7,0.11,0.0,11,0,100,11,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.75,0.11,0.0,11,0,100,11,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.8,0.14,0.0,14,0,100,14,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.85,0.22,0.0,22,0,100,27,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.9,0.3,0.0,30,0,100,41,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.95,0.49,0.0,49,0,100,81,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,top_p,0.99,0.82,0.0,82,0,100,206,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,min_p,0.01,0.27,0.0,27,0,100,31,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,min_p,0.02,0.22,0.0,22,0,100,24,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,min_p,0.03,0.18,0.0,18,0,100,19,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,min_p,0.04,0.14,0.0,14,0,100,15,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,min_p,0.05,0.14,0.0,14,0,100,15,1000,results/audit.gemma4-e4b-it.jsonl
google/gemma-4-E4B-it,min_p,0.06,0.13,0.0,13,0,100,14,1000,results/audit.gemma4-e4b-it.jsonl
